step	obs	sd
1	2171606.6530612246	1641635.2417379888
11	14225278.693877552	2112686.1494511054
21	20811648.48979592	1529893.9501668431
31	24553511.346938774	1301887.6420326638
41	27196383.040816326	1020469.7892944663
51	29290339.040816326	1144774.4397271324
61	31066187.44897959	1043815.4781859551
71	32454970.48979592	765454.7177480453
81	33607891.346938774	637248.9134950922
91	34758146.0	675671.5550753629
101	35550352.85714286	712106.9107456795
111	36338570.24489796	538274.4763979536
121	36798364.89795918	455785.4940253456
131	37497876.510204084	408992.0906272864
141	38048625.24489796	399641.4985516818
151	38469244.73469388	377204.02680045797
161	38889062.67346939	393108.60028897703
171	39242784.530612245	267841.7503512637
181	39576458.6122449	358658.8453131185
191	39911048.20408163	293174.88309553533
201	40205684.71428572	224747.69998260133
211	40526504.85714286	223353.31864659855
221	40683136.8367347	213085.39754730192
231	40887236.571428575	205372.3036344542
241	41132649.20408163	220332.96687281903
251	41308440.32653061	216667.5520831149
261	41527950.75510204	168779.99663473648
271	41648740.89795918	172497.93853713447
281	41799308.6122449	137566.28975446284
291	41946968.0	171987.53769386897
301	42075416.28571428	160666.2123667752
311	42211190.1632653	137819.35802114703
321	42333032.428571425	141040.50795876092
331	42466750.89795918	115821.67746649525
341	42566523.79591837	109466.27781827115
351	42634027.87755102	104330.57285450067
361	42785568.14285714	90750.13608422922
371	42814173.08163265	91540.99451597042
381	42947420.71428572	69970.33490745364
391	42998104.653061226	79764.1745270499
401	43079628.8367347	70628.46735699306
411	43162681.0	67673.10635544905
421	43223285.591836736	63745.636082703764
431	43284194.591836736	46691.70432455172
441	43354832.95918367	43784.01119221453
451	43411047.26530612	36948.84933381387
461	43471069.04081633	34540.392528144985
471	43518818.489795916	24244.019120332312
476	43549032	0
